r,c,diag1,diag2
85,40,SAM,SAM
85,51,MAS,SAM
85,61,MAS,MAS
85,62,SAM,SAM
85,72,SAM,SAM
85,74,SAM,SAM
85,80,SAM,MAS
85,83,MAS,MAS
85,87,SAM,MAS
85,91,SAM,MAS
85,93,MAS,SAM
85,100,SAM,MAS
85,108,MAS,SAM
85,109,MAS,MAS
85,110,SAM,MAS
85,127,SAM,MAS
85,135,SAM,SAM
86,2,MAS,MAS
86,4,MAS,MAS
86,12,MAS,SAM
86,33,MAS,MAS
86,35,MAS,MAS
86,40,MAS,SAM
86,49,MAS,MAS
86,56,SAM,MAS
86,104,SAM,MAS
86,135,SAM,SAM
86,137,SAM,SAM
87,22,MAS,SAM
87,24,SAM,MAS
87,25,MAS,MAS
87,33,MAS,MAS
87,35,MAS,MAS
87,65,MAS,MAS
87,69,SAM,SAM
87,71,SAM,SAM
87,85,SAM,SAM
87,93,MAS,SAM
87,109,SAM,SAM
87,113,SAM,MAS
87,118,MAS,MAS
88,2,SAM,SAM
88,4,SAM,SAM
88,12,MAS,SAM
88,13,SAM,SAM
88,14,SAM,MAS
88,15,SAM,SAM
88,17,SAM,SAM
88,19,SAM,SAM
88,41,MAS,SAM
88,42,SAM,SAM
88,45,MAS,SAM
88,50,SAM,MAS
88,54,MAS,SAM
88,74,MAS,SAM
88,78,SAM,MAS
88,87,MAS,MAS
88,89,MAS,MAS
88,96,MAS,SAM
88,123,MAS,SAM
89,9,SAM,MAS
89,24,SAM,MAS
89,69,MAS,MAS
89,81,SAM,MAS
89,87,MAS,SAM
89,89,SAM,MAS
89,108,MAS,MAS
89,109,MAS,MAS
89,114,SAM,SAM
90,22,MAS,MAS
90,43,SAM,MAS
90,45,MAS,SAM
90,47,SAM,MAS
90,50,SAM,MAS
90,76,SAM,SAM
90,79,SAM,SAM
90,85,SAM,SAM
90,87,SAM,SAM
90,103,SAM,SAM
90,130,SAM,MAS
91,10,MAS,MAS
91,12,MAS,MAS
91,22,MAS,SAM
91,24,SAM,MAS
91,61,MAS,MAS
91,62,MAS,SAM
91,65,MAS,SAM
91,91,MAS,MAS
91,108,SAM,SAM
91,120,MAS,MAS
91,137,MAS,SAM
91,138,SAM,MAS
92,24,SAM,MAS
92,32,SAM,MAS
92,41,MAS,SAM
92,43,SAM,MAS
92,50,SAM,MAS
92,67,MAS,MAS
92,77,MAS,MAS
92,89,MAS,SAM
92,93,SAM,MAS
92,96,SAM,SAM
92,104,MAS,SAM
92,106,SAM,MAS
92,111,MAS,SAM
93,7,SAM,MAS
93,9,MAS,SAM
93,34,SAM,MAS
93,52,SAM,SAM
93,54,SAM,SAM
93,61,SAM,SAM
93,62,MAS,SAM
93,64,SAM,MAS
93,65,MAS,SAM
93,84,SAM,MAS
93,118,SAM,SAM
93,120,SAM,SAM
93,127,SAM,MAS
93,129,MAS,SAM
94,40,SAM,SAM
94,42,SAM,SAM
94,44,SAM,SAM
94,46,SAM,SAM
94,48,SAM,SAM
94,56,SAM,SAM
94,67,SAM,SAM
94,71,MAS,MAS
94,75,MAS,SAM
94,89,MAS,SAM
94,93,SAM,MAS
94,105,MAS,SAM
94,133,MAS,SAM
94,135,SAM,MAS
95,3,MAS,MAS
95,12,SAM,SAM
95,27,SAM,SAM
95,64,SAM,MAS
95,82,SAM,SAM
95,89,SAM,MAS
95,99,SAM,SAM
95,100,MAS,MAS
95,101,SAM,SAM
95,122,MAS,SAM
95,124,SAM,MAS
95,126,MAS,SAM
95,129,MAS,SAM
95,133,SAM,MAS
95,135,MAS,SAM
96,17,SAM,MAS
96,21,SAM,SAM
96,34,SAM,MAS
96,70,MAS,SAM
96,79,MAS,MAS
96,95,MAS,MAS
96,105,MAS,SAM
96,115,MAS,SAM
97,3,SAM,SAM
97,9,SAM,MAS
97,17,MAS,SAM
97,26,MAS,SAM
97,30,MAS,MAS
97,39,SAM,SAM
97,41,SAM,SAM
97,64,SAM,MAS
97,72,MAS,MAS
97,74,MAS,MAS
97,98,SAM,SAM
97,100,SAM,SAM
97,105,MAS,SAM
97,107,SAM,MAS
97,109,MAS,SAM
98,5,MAS,SAM
98,7,SAM,MAS
98,9,MAS,SAM
98,17,SAM,MAS
98,57,SAM,MAS
98,68,SAM,MAS
98,70,MAS,SAM
98,72,SAM,MAS
98,93,SAM,SAM
98,100,MAS,MAS
98,109,MAS,MAS
98,113,SAM,MAS
98,115,MAS,SAM
98,121,MAS,MAS
99,2,SAM,SAM
99,5,MAS,MAS
99,11,MAS,MAS
99,13,MAS,MAS
99,20,MAS,MAS
99,21,SAM,SAM
99,25,MAS,MAS
99,30,SAM,SAM
99,42,MAS,MAS
99,53,MAS,MAS
99,70,SAM,SAM
99,72,SAM,SAM
99,74,SAM,SAM
99,85,MAS,MAS
99,88,MAS,SAM
99,100,MAS,MAS
99,102,MAS,MAS
99,107,SAM,MAS
99,109,MAS,SAM
99,132,SAM,MAS
100,7,SAM,MAS
100,9,MAS,SAM
100,11,SAM,MAS
100,15,SAM,SAM
100,27,MAS,MAS
100,50,SAM,MAS
100,58,SAM,SAM
100,111,SAM,SAM
100,115,MAS,SAM
100,118,SAM,SAM
100,136,MAS,MAS
100,138,MAS,MAS
101,11,SAM,SAM
101,17,MAS,MAS
101,27,SAM,SAM
101,32,MAS,MAS
101,38,MAS,MAS
101,42,SAM,SAM
101,54,MAS,MAS
101,55,SAM,MAS
101,76,MAS,MAS
101,79,MAS,SAM
101,81,SAM,MAS
101,84,SAM,MAS
101,95,SAM,SAM
101,102,SAM,SAM
101,109,MAS,SAM
101,125,MAS,MAS
101,127,MAS,MAS
101,128,SAM,MAS
101,130,MAS,SAM
102,1,SAM,SAM
102,3,SAM,SAM
102,5,SAM,SAM
102,17,MAS,MAS
102,34,SAM,MAS
102,45,MAS,SAM
102,47,SAM,MAS
102,102,MAS,MAS
102,118,MAS,MAS
102,135,MAS,SAM
102,137,SAM,MAS
102,138,SAM,SAM
103,5,SAM,MAS
103,11,MAS,MAS
103,14,SAM,MAS
103,23,SAM,SAM
103,36,SAM,SAM
103,38,SAM,SAM
103,52,SAM,SAM
103,65,MAS,MAS
103,74,SAM,SAM
103,76,SAM,SAM
103,83,MAS,MAS
103,108,MAS,MAS
103,109,MAS,SAM
103,110,MAS,MAS
103,115,SAM,MAS
103,130,MAS,SAM
104,7,MAS,MAS
104,32,MAS,SAM
104,34,SAM,MAS
104,36,MAS,SAM
104,55,MAS,MAS
104,67,MAS,SAM
104,69,SAM,MAS
104,97,MAS,MAS
104,102,SAM,SAM
104,104,SAM,SAM
104,117,MAS,MAS
104,132,MAS,MAS
104,135,MAS,SAM
104,137,SAM,MAS
105,1,MAS,MAS
105,2,MAS,SAM
105,5,SAM,MAS
105,34,SAM,MAS
105,40,MAS,MAS
105,51,MAS,SAM
105,53,SAM,MAS
105,57,MAS,SAM
105,62,SAM,SAM
105,78,MAS,SAM
105,81,SAM,SAM
105,102,SAM,SAM
105,106,MAS,SAM
106,9,SAM,MAS
106,37,SAM,MAS
106,47,SAM,SAM
106,49,SAM,SAM
106,86,MAS,MAS
106,102,MAS,MAS
106,114,MAS,MAS
106,122,MAS,SAM
106,129,MAS,MAS
106,133,MAS,MAS
107,1,SAM,SAM
107,17,SAM,MAS
107,19,MAS,SAM
107,40,SAM,SAM
107,41,SAM,MAS
107,53,SAM,MAS
107,86,SAM,MAS
107,104,MAS,MAS
107,110,SAM,MAS
107,120,MAS,SAM
108,13,MAS,SAM
108,25,SAM,MAS
108,35,MAS,SAM
108,44,MAS,SAM
108,46,SAM,MAS
108,47,MAS,MAS
108,53,MAS,MAS
108,71,MAS,MAS
108,73,MAS,MAS
108,74,SAM,SAM
108,78,MAS,MAS
108,80,MAS,MAS
108,86,SAM,SAM
108,88,SAM,SAM
108,97,SAM,SAM
108,99,SAM,SAM
108,114,SAM,SAM
108,122,MAS,SAM
108,129,SAM,SAM
108,131,SAM,SAM
108,138,MAS,SAM
109,2,SAM,MAS
109,5,SAM,SAM
109,18,MAS,SAM
109,30,SAM,SAM
109,78,SAM,SAM
109,80,SAM,SAM
109,84,MAS,SAM
109,86,SAM,MAS
109,88,MAS,SAM
109,90,SAM,MAS
109,93,MAS,SAM
109,95,SAM,MAS
109,104,SAM,SAM
109,106,SAM,SAM
109,108,SAM,SAM
110,5,MAS,MAS
110,45,MAS,SAM
110,55,SAM,MAS
110,59,MAS,SAM
110,60,SAM,MAS
110,61,SAM,MAS
110,71,SAM,SAM
110,72,MAS,MAS
110,80,SAM,SAM
110,124,SAM,SAM
110,131,MAS,MAS
110,133,MAS,MAS
110,138,MAS,SAM
111,3,MAS,MAS
111,9,SAM,MAS
111,11,MAS,SAM
111,32,MAS,SAM
111,33,SAM,SAM
111,39,SAM,SAM
111,42,MAS,MAS
111,45,MAS,MAS
111,63,MAS,MAS
111,80,MAS,MAS
111,84,MAS,SAM
111,85,MAS,SAM
111,95,SAM,MAS
111,96,MAS,MAS
111,100,MAS,SAM
111,102,SAM,MAS
111,106,MAS,MAS
112,24,MAS,SAM
112,47,SAM,MAS
112,54,MAS,MAS
112,108,SAM,SAM
112,129,MAS,SAM
112,133,SAM,SAM
113,3,SAM,SAM
113,14,SAM,MAS
113,17,SAM,SAM
113,28,MAS,MAS
113,34,SAM,SAM
113,41,MAS,SAM
113,45,SAM,SAM
113,63,SAM,SAM
113,65,SAM,SAM
113,81,MAS,SAM
113,83,SAM,MAS
113,86,SAM,SAM
113,99,SAM,SAM
113,101,SAM,SAM
113,104,MAS,SAM
113,108,SAM,MAS
113,116,SAM,SAM
114,14,MAS,MAS
114,30,MAS,SAM
114,48,MAS,SAM
114,50,SAM,MAS
114,52,MAS,SAM
114,59,SAM,SAM
114,63,SAM,MAS
114,74,MAS,MAS
114,90,SAM,SAM
114,121,SAM,MAS
115,5,MAS,SAM
115,18,SAM,SAM
115,22,SAM,MAS
115,24,MAS,SAM
115,30,SAM,SAM
115,34,MAS,MAS
115,37,SAM,MAS
115,38,SAM,MAS
115,40,MAS,SAM
115,63,MAS,MAS
115,72,SAM,SAM
115,94,SAM,MAS
115,103,MAS,MAS
115,108,SAM,MAS
116,5,MAS,SAM
116,16,SAM,MAS
116,24,SAM,SAM
116,44,MAS,SAM
116,46,SAM,MAS
116,48,MAS,SAM
116,50,SAM,MAS
116,52,MAS,SAM
116,54,SAM,MAS
116,63,SAM,MAS
116,70,SAM,MAS
116,72,MAS,SAM
116,75,MAS,MAS
116,88,MAS,MAS
116,90,MAS,MAS
116,120,SAM,MAS
116,122,MAS,SAM
116,124,SAM,MAS
116,138,SAM,SAM
117,3,MAS,MAS
117,12,MAS,SAM
117,20,MAS,SAM
117,22,SAM,MAS
117,26,SAM,SAM
117,44,SAM,SAM
117,94,SAM,MAS
117,96,MAS,SAM
117,103,SAM,SAM
117,114,MAS,SAM
117,118,MAS,MAS
117,126,SAM,MAS
117,129,SAM,MAS
117,132,MAS,MAS
117,136,MAS,SAM
117,138,SAM,MAS
118,3,SAM,MAS
118,15,MAS,SAM
118,22,MAS,MAS
118,30,MAS,MAS
118,44,MAS,SAM
118,48,MAS,SAM
118,61,SAM,SAM
118,84,SAM,MAS
118,86,MAS,SAM
118,98,SAM,MAS
118,106,MAS,MAS
118,132,SAM,SAM
118,134,SAM,SAM
118,138,MAS,MAS
119,3,SAM,SAM
119,10,MAS,MAS
119,26,MAS,MAS
119,38,MAS,MAS
119,40,MAS,MAS
119,42,MAS,MAS
119,56,SAM,SAM
119,61,SAM,SAM
119,80,MAS,MAS
119,86,SAM,MAS
119,96,MAS,SAM
119,102,MAS,SAM
119,104,SAM,MAS
119,126,SAM,MAS
119,134,SAM,MAS
119,136,MAS,SAM
119,138,SAM,MAS
120,29,MAS,SAM
120,31,SAM,MAS
120,61,MAS,MAS
120,76,MAS,MAS
120,78,MAS,MAS
120,82,MAS,SAM
120,84,SAM,MAS
120,96,SAM,SAM
120,108,SAM,SAM
120,110,SAM,SAM
121,2,MAS,MAS
121,7,SAM,SAM
121,10,SAM,SAM
121,12,SAM,SAM
121,26,SAM,SAM
121,38,SAM,SAM
121,40,SAM,SAM
121,63,MAS,SAM
121,65,SAM,MAS
121,67,MAS,SAM
121,114,SAM,SAM
122,29,MAS,SAM
122,46,MAS,SAM
122,65,MAS,MAS
122,70,MAS,SAM
122,71,MAS,MAS
122,73,MAS,MAS
122,82,MAS,SAM
122,83,MAS,MAS
122,89,MAS,SAM
122,90,SAM,SAM
122,91,SAM,MAS
122,102,SAM,MAS
122,119,SAM,SAM
122,127,MAS,MAS
122,131,SAM,MAS
123,11,MAS,SAM
123,13,SAM,MAS
123,25,SAM,SAM
123,57,SAM,SAM
123,59,SAM,SAM
123,65,SAM,MAS
123,67,MAS,SAM
123,134,SAM,SAM
123,136,SAM,SAM
124,8,MAS,SAM
124,16,SAM,MAS
124,28,MAS,MAS
124,30,MAS,MAS
124,36,MAS,MAS
124,38,MAS,MAS
124,40,MAS,MAS
124,42,MAS,MAS
124,44,MAS,MAS
124,47,SAM,SAM
124,65,SAM,SAM
124,67,SAM,SAM
124,69,SAM,SAM
124,72,SAM,MAS
124,76,SAM,MAS
124,83,SAM,SAM
124,84,SAM,SAM
124,86,SAM,SAM
124,87,SAM,MAS
124,89,MAS,SAM
124,90,MAS,MAS
124,91,SAM,MAS
124,127,SAM,SAM
124,129,SAM,SAM
125,4,MAS,SAM
125,6,SAM,MAS
125,21,SAM,MAS
125,63,MAS,SAM
125,67,MAS,SAM
125,80,MAS,MAS
125,102,MAS,SAM
125,104,SAM,MAS
125,105,MAS,SAM
125,107,SAM,MAS
125,117,MAS,SAM
125,125,SAM,MAS
125,138,MAS,SAM
126,9,SAM,SAM
126,11,SAM,SAM
126,16,SAM,MAS
126,19,SAM,MAS
126,21,MAS,SAM
126,28,SAM,SAM
126,35,MAS,MAS
126,37,MAS,MAS
126,46,SAM,SAM
126,48,SAM,SAM
126,59,MAS,MAS
126,69,MAS,MAS
126,71,MAS,MAS
126,74,MAS,SAM
126,76,SAM,MAS
126,82,SAM,MAS
126,86,MAS,MAS
126,97,MAS,MAS
126,98,MAS,SAM
126,102,SAM,SAM
126,129,MAS,MAS
127,19,SAM,SAM
127,67,MAS,SAM
128,3,MAS,MAS
128,15,SAM,SAM
128,17,SAM,SAM
128,25,SAM,MAS
128,33,MAS,SAM
128,36,MAS,SAM
128,38,SAM,MAS
128,52,SAM,SAM
128,54,SAM,SAM
128,67,SAM,SAM
128,75,MAS,MAS
128,84,MAS,SAM
128,91,MAS,MAS
128,97,SAM,SAM
128,109,SAM,SAM
128,133,SAM,MAS
128,138,SAM,SAM
129,62,MAS,SAM
129,64,SAM,MAS
129,69,SAM,SAM
129,77,MAS,MAS
129,82,MAS,MAS
129,100,MAS,SAM
129,102,SAM,MAS
129,104,MAS,SAM
129,109,SAM,MAS
129,113,MAS,MAS
129,115,MAS,MAS
129,122,MAS,SAM
130,1,MAS,SAM
130,7,MAS,MAS
130,9,MAS,MAS
130,20,SAM,MAS
130,34,MAS,MAS
130,37,SAM,MAS
130,55,MAS,SAM
130,57,SAM,MAS
130,67,MAS,MAS
130,71,SAM,MAS
130,75,SAM,SAM
130,82,MAS,MAS
130,89,MAS,SAM
130,113,SAM,SAM
130,117,SAM,MAS
130,128,MAS,SAM
130,130,SAM,MAS
130,132,MAS,SAM
130,136,MAS,MAS
130,138,MAS,MAS
131,15,SAM,MAS
131,16,MAS,MAS
131,24,MAS,MAS
131,45,SAM,SAM
131,47,SAM,SAM
131,67,SAM,MAS
131,75,MAS,SAM
131,82,SAM,SAM
131,89,SAM,SAM
131,95,MAS,SAM
131,97,SAM,MAS
131,99,MAS,SAM
131,107,MAS,SAM
131,117,SAM,MAS
131,138,MAS,SAM
132,5,SAM,SAM
132,7,SAM,SAM
132,32,MAS,SAM
132,38,MAS,MAS
132,54,MAS,MAS
132,57,SAM,MAS
132,60,MAS,MAS
132,67,SAM,SAM
132,69,SAM,SAM
132,86,MAS,MAS
132,97,MAS,SAM
132,102,MAS,SAM
132,117,SAM,MAS
132,130,SAM,MAS
132,132,MAS,SAM
132,136,SAM,SAM
132,138,SAM,SAM
133,5,MAS,SAM
133,13,SAM,SAM
133,16,SAM,SAM
133,17,MAS,MAS
133,19,MAS,MAS
133,22,MAS,SAM
133,23,MAS,SAM
133,25,SAM,MAS
133,46,MAS,SAM
133,86,MAS,SAM
133,99,MAS,SAM
133,126,SAM,SAM
134,5,MAS,MAS
134,56,SAM,MAS
134,58,MAS,SAM
134,86,SAM,SAM
134,93,MAS,SAM
134,94,SAM,MAS
134,97,MAS,SAM
134,99,SAM,MAS
134,104,SAM,SAM
134,115,SAM,SAM
134,129,MAS,SAM
134,130,SAM,MAS
134,136,MAS,MAS
134,137,MAS,MAS
135,5,MAS,SAM
135,14,MAS,MAS
135,18,MAS,SAM
135,19,SAM,SAM
135,24,SAM,SAM
135,26,SAM,SAM
135,28,SAM,SAM
135,32,MAS,SAM
135,34,SAM,MAS
135,41,MAS,MAS
135,43,MAS,MAS
135,45,MAS,MAS
135,48,SAM,SAM
135,49,MAS,SAM
135,51,SAM,MAS
135,68,SAM,MAS
135,74,SAM,MAS
135,76,MAS,SAM
135,108,SAM,MAS
136,1,SAM,SAM
136,3,SAM,SAM
136,5,SAM,SAM
136,10,MAS,SAM
136,12,SAM,MAS
136,45,MAS,MAS
136,56,SAM,MAS
136,60,SAM,MAS
136,62,MAS,SAM
136,64,SAM,MAS
136,92,SAM,SAM
136,93,MAS,SAM
136,96,MAS,SAM
136,97,MAS,SAM
136,99,SAM,MAS
136,121,SAM,MAS
136,127,MAS,MAS
136,131,SAM,MAS
136,135,MAS,SAM
136,136,SAM,SAM
137,7,SAM,SAM
137,8,MAS,MAS
137,12,MAS,SAM
137,16,SAM,MAS
137,18,MAS,SAM
137,28,MAS,MAS
137,32,MAS,SAM
137,43,SAM,SAM
137,47,SAM,MAS
137,49,MAS,SAM
137,51,SAM,MAS
137,67,MAS,MAS
137,68,SAM,MAS
137,69,MAS,MAS
137,70,MAS,SAM
137,78,SAM,SAM
137,90,SAM,MAS
137,101,SAM,MAS
137,102,MAS,SAM
137,104,SAM,MAS
137,106,MAS,SAM
138,14,MAS,MAS
138,16,MAS,MAS
138,18,MAS,MAS
138,37,MAS,MAS
138,45,SAM,SAM
138,54,MAS,SAM
138,56,SAM,MAS
138,60,SAM,MAS
138,63,SAM,MAS
138,83,MAS,SAM
138,84,MAS,MAS
138,85,SAM,MAS
138,88,SAM,SAM
138,92,MAS,MAS
138,94,MAS,MAS
138,98,SAM,MAS
138,108,SAM,MAS
138,113,MAS,MAS
138,116,MAS,SAM
138,118,SAM,MAS
138,120,MAS,SAM
138,129,SAM,SAM
138,133,MAS,MAS
138,134,SAM,MAS
